19.0,19.0,19.0,19.0,19.0,20.0,18.0,18.0,18.0,15.0,13.0,13.0,11.0,9.0,9.0,9.0,8.0,7.0,8.0,5.0,9.0,9.0,5.0,10.0,8.0,11.0,11.0,10.0,12.0,7.0,11.0,7.0,6.0,4.0,4.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,-1.0,3.0,0.0,0.0,1.0,1.0,-1.0,-6.0,-4.0,-4.0,-8.0,-5.0,-7.0,-5.0,-7.0,-8.0,-4.0,-6.0,-7.0,-5.0,-7.0,-7.0,-10.0,-11.0,-10.0,-10.0,-13.0,-13.0,-15.0,-16.0,-16.0,-16.0,-16.0,-15.0,-15.0,-15.0,-15.0,-16.0,-15.0,-14.0,-14.0,-14.0,-13.0,-13.0,-12.0,-12.0,-12.0,-11.0,-12.0,-12.0,-12.0,-13.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-13.0,-13.0,-15.0,-14.0,-14.0,-16.0,-14.0,-14.0,-11.0,-12.0,-12.0,-12.0,-13.0,-12.0,-12.0,-10.0,-12.0,-12.0,-11.0,-11.0,-10.0,-12.0,-12.0,-11.0,-11.0,-13.0,-12.0,-12.0,-11.0,-10.0,-12.0,-11.0,-10.0,-12.0,-11.0,-11.0,-11.0,-11.0,-12.0,-13.0,-13.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-14.0,-13.0,-11.0,-11.0,-12.0,-11.0,-11.0,-9.0,-10.0,-10.0,-9.0,-9.0,-10.0,-10.0,-10.0,-11.0,-11.0,-11.0,-12.0,-12.0,-13.0,-12.0,-11.0,-10.0,-9.0,-9.0,-9.0,-8.0,-8.0,-8.0,-8.0,-9.0,-8.0,-9.0,-10.0,-10.0,-10.0,-12.0,-13.0,-13.0,-13.0,-12.0,-12.0,-11.0,-11.0,-11.0,-11.0,-13.0,-14.0,-14.0,-14.0,-13.0,-13.0,-13.0,-10.0,-10.0,-10.0,-9.0,-10.0,-7.0,-8.0,-8.0,-7.0,-10.0,-10.0,-8.0,-10.0,-7.0,-8.0,-10.0,-8.0,-8.0,-11.0,-11.0,-12.0,-15.0,-15.0,-13.0,-14.0,-17.0,-13.0,-14.0,-10.0,-10.0,-12.0,-10.0,-9.0,-9.0,-8.0,-11.0,-9.0,-12.0,-12.0,-12.0,-14.0,-13.0,-13.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-16.0,-15.0,-16.0,-16.0,-15.0,-15.0,-16.0,-15.0,-16.0,-15.0,-14.0,-14.0,-14.0,-12.0,-13.0,-12.0,-11.0,-11.0,-10.0,-10.0,-10.0,-10.0,-12.0,-12.0,-11.0,-14.0,-14.0,-14.0,-16.0,-16.0,-17.0,-16.0,-15.0,-16.0,-16.0,-15.0,-15.0,-14.0,-14.0,-15.0,-16.0,-16.0,-15.0,-15.0,-17.0,-16.0,-18.0,-18.0,-17.0,-16.0,-14.0,-14.0,-7.0,-8.0,-7.0,-5.0,-12.0,-8.0,-10.0,-16.0,-13.0,-15.0,-16.0,-14.0,-20.0,-14.0,-20.0,-18.0,-16.0,-18.0,-19.0,-15.0,-21.0,-17.0,-19.0,-20.0,-18.0,-19.0,-19.0,-16.0,-15.0,-16.0,-16.0,-19.0,-18.0,-20.0,-22.0,-20.0,-21.0,-20.0,-17.0,-17.0,-13.0,-15.0,-12.0,-13.0,-15.0,-13.0,-17.0,-13.0,-17.0,-16.0,-16.0,-19.0,-14.0,-16.0,-15.0,-13.0,-12.0,-12.0,-13.0,-13.0,-12.0,-12.0,-13.0,-13.0,-14.0,-15.0,-15.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-12.0,-12.0,-13.0,-9.0,-10.0,-11.0,-10.0,-12.0,-9.0,-10.0,-12.0,-12.0,-13.0,-15.0,-13.0,-14.0,-12.0,-11.0,-13.0,-12.0,-16.0,-12.0,-17.0,-17.0,-14.0,-15.0,-14.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-18.0,-17.0,-17.0,-18.0,-17.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-17.0,-17.0,-13.0,-13.0,-11.0,-11.0,-10.0,-8.0,-8.0,-11.0,-9.0,-10.0,-13.0,-13.0,-13.0,-13.0,-13.0,-10.0,-14.0,-12.0,-8.0,-12.0,-8.0,-8.0,-12.0,-7.0,-10.0,-13.0,-9.0,-15.0,-11.0,-11.0,-14.0,-13.0,-16.0,-14.0,-16.0,-17.0,-17.0,-17.0,-16.0,-16.0,-16.0,-14.0,-14.0,-12.0,-14.0,-14.0,-10.0,-10.0,-14.0,-12.0,-13.0,-14.0,-12.0,-15.0,-14.0,-13.0,-13.0,-12.0,-13.0,-14.0,-13.0,-14.0,-14.0,-14.0,-13.0,-14.0,-14.0,-11.0,-12.0,-11.0,-9.0,-11.0,-10.0
